AccountNumber,MasterCustomerDetailsFlag,PrimaryAccountHolderFlag,Title,FirstName,MiddleInitial,LastName,NameSuffix,BusinessName,StreetAddress1,StreetAddress2,StreetAddress3,City,State,ZipCodePre,ZipCodeSuffix,DateOfBirth,DeathDate,PhoneNumber,EmailAddress,SSN,CommunicationPreference,Income,EmployerName,EmploymentDate,MemberStartDate,RelationshipCode,RaddonSegment,County,Region,Branch,CheckingFlag,CDFlag,MoneyMarketFlag,AutoLoanFlag,CreditCardFlag,PLFlag,HELOCFlag,HomeEquityLoanFlag,FirstMortgageFlag,StudentLoanFlag,OnlineBankingFlag,BillPayFlag,DebitCardFlag,NegShareWarning,BankruptcyWarning,DQWarning,BadAddressWarning,BadEmailWarning,ExcessiveFeesWarning,CreditScore1,CreditScoreDate1,CreditScore2,CreditScoreDate2,CreditScore3,CreditScoreDate3,CreditScore4,CreditScoreDate4,ProductAccountNumber,ProductType,Description,MonthlyPayment,DateOpened,Rate,TermType,TermInMonths,OriginalBalance,CurrentBalance,CCLimit,FlexFlag1,FlexFlag2,FlexFlag3,FlexFlag4,FlexFlag5,FlexFlag6,FlexFlag7,FlexFlag8,FlexFlag9,FlexFlag10,FlexChar1,FlexChar2,FlexChar3,FlexChar4,FlexNum1,FlexNum2,FlexNum3,FlexNum4,FlexDate1,FlexDate2,FlexDate3,FlexDate4,FlexMoney1,FlexMoney2,FlexMoney3,FlexMoney4,FlexRate1,FlexRate2,FlexRate3,FlexRate4
100000,1,1,Miss,Philip,K,Barnes,Jr.,Midwest Undercar,"P.O. Box 196, 2283 Red Ave",Ap #238-4581 Super St.,6758 Esq Av.,Gretna,IA,28617,5201,9/26/1931,8/27/2012,,Tech.Engineering.Inc@Esq.ca,104237926,email,51477,Optical Supply,43,10/28/1974,65,Middle Income Depositor,Products,Coldwell,Main St.,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,
100001,1,1,Mrs.,Quamar,H,Long,,Irene A,184-798 Helm Rd.,"P.O. Box 472, 5730 Local St.","P.O. Box 932, 6645 Corp Av.",Bloomington,CO,5987,9267,10/21/1976,7/19/2012,,Lifestyles.Organization.Callaghan@DynamicsGroupBulloch.com,104294163,email,3491,Schaff Michael,31,12/10/1996,44,Low Income Depositor,Real,Management,Main St.,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,0,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
100002,1,1,,Nero,C,Hardy,II,H Esq,"P.O. Box 676, 6140 Chamot Ave",Ap #639-2649 Taxi Rd.,2663 Technologies Avenue,Biloxi,MI,76245,6709,3/14/1952,11/13/2011,,Calibron.Systems.Inc@Capital.net,104350400,email,117346,James R,29,7/4/1999,39,Credit Driven,Constantino,Art,Main St.,0,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,
100003,1,1,Mrs.,Wade,T,Curtis,Jr.,Of Shipley,6994 Quality St.,9413 Perkiss Avenue,"P.O. Box 136, 2679 Dennis Avenue",Newport,VT,11052,5588,10/20/1954,8/17/2011,,Dennis.J@Aids.net,104406637,email,96656,Super 8,19,3/26/1959,61,Middle Market,Terrance,C,Main St.,1,0,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,
100004,1,1,,Jordan,Y,Lynch,,Esq Finkelstein,715-3808 Inc St.,"P.O. Box 354, 3537 O St.",8011 Title St.,Armadale,PA,94824,6658,1/23/1952,6/24/2012,,P.C.Systems@Florida.com,104462874,email,84902,Signature Inn,15,11/28/1963,83,Middle Market,Amgen,Florida,Main St.,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,
100005,1,1,Miss,Len,A,Ayers,III,Esq League,346-2823 Nako Street,"P.O. Box 969, 1971 Metals St.",7581 Delaney Rd.,Cranston,MS,89432,1209,7/6/1940,5/17/2013,,Process.Engineering@CoSmithCapital.ca,104519111,email,74971,Bruce Esq,3,8/1/1988,19,Middle Income Depositor,Esq,Alumn,Main St.,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,
100006,1,1,,Harrison,G,Head,Jr.,Inc Cmptr,836-470 F Rd.,"P.O. Box 906, 8667 Pacific Street","P.O. Box 693, 6910 County Rd.",East Kilbride,UT,66344,7898,2/14/1965,7/19/2011,,&@BureauSearsRoebuck.edu,104575348,email,111106,Henley Cal,12,4/25/1975,18,Middle Income Depositor,Cerberus,Printing,Main St.,0,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,
100007,1,1,Mrs.,Colby,Q,Peterson,Jr.,Fin Corp,"P.O. Box 294, 6153 Office Rd.","P.O. Box 805, 7467 Arthur Rd.","P.O. Box 288, 6944 Unltd Av.",Rothes,WI,26335,5413,3/9/2027,12/22/2011,,Arthur@IncL&.com,104631585,email,245508,Analysts International,44,11/12/1952,81,Upscale,Kokkonen,Corporation,Main St.,1,0,0,0,1,1,1,0,0,1,1,1,0,1,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,
100008,1,1,Mr.,Brody,E,Crane,,Inc Santa,Ap #967-415 Cmplt St.,"P.O. Box 509, 5639 At Av.",Ap #139-3597 Cmplt Avenue,Carnoustie,KS,59758,4042,9/7/1949,10/17/2011,,Insurcorp.Inc@Brown.com,104687822,email,242108,Co Analysts,46,10/15/2004,84,Upscale,Analysts,Arthur,Main St.,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,
100009,1,1,Mr.,Howard,W,Rojas,,& M,"P.O. Box 634, 1458 Corp St.",Ap #133-4011 Corp St.,"P.O. Box 625, 4470 Charles Rd.",Bloomington,OK,24936,2519,10/17/1978,9/22/2012,,Carterville@HobbiesBucks.com,104744059,email,129248,Acker Knitting,15,5/12/1988,30,Middle Market,Search,University,Main St.,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,
